X,Y,OBJECTID,SURV_ID,LOC_ID,DATE_,YEAR,MONTH,DAY,ADULTS,CALVES,TOTAL,COUNTY,COAST,STATE,SUBPOP,AGG_SITE,last_edited_date
-9076910.7816,3598451.9318,101640,1991_1,101,1991/01/24 00:00:00+00,1991,1,24,5,0,5,Georgia,EAST,GA,ATL,Un-named Location,2019/03/04 15:38:05+00
-9075061.7636,3654109.4878,101641,1991_1,102,1991/01/24 00:00:00+00,1991,1,24,1,0,1,Georgia,EAST,GA,ATL,Un-named Location,2019/03/04 15:38:05+00
-9086467.5586,3550866.7748,101642,1991_1,201,1991/01/24 00:00:00+00,1991,1,24,1,0,1,Duval,EAST,FL,ATL,Florida Power and Light Kennedy Generation Station,2019/03/04 15:38:05+00
-9054653.5762,3368660.9292,101643,1991_1,301,1991/01/23 00:00:00+00,1991,1,23,49,4,53,Volusia,EAST,FL,USJ,Blue Spring,2019/03/04 15:38:05+00
-9055796.827,3369925.4579,101644,1991_1,401,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Volusia,EAST,FL,USJ,Un-named Location,2019/03/04 15:38:05+00
-9055069.9109,3368238.5986,101645,1991_1,402,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Volusia,EAST,FL,USJ,Un-named Location,2019/03/04 15:38:05+00
-9055840.2416,3367865.8903,101646,1991_1,403,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Lake,EAST,FL,USJ,Un-named Location,2019/03/04 15:38:05+00
-9023002.1133,3412785.2816,101647,1991_1,501,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Volusia,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8991862.7242,3311535.9825,101648,1991_1,502,1991/01/23 00:00:00+00,1991,1,23,30,0,30,Brevard,EAST,FL,ATL,Reliant Energy Power Plant,2019/03/04 15:38:05+00
-8991622.2741,3311676.58,101649,1991_1,503,1991/01/23 00:00:00+00,1991,1,23,34,6,40,Brevard,EAST,FL,ATL,Reliant Energy Power Plant,2019/03/04 15:38:05+00
-8991218.1845,3311592.9813,101650,1991_1,504,1991/01/23 00:00:00+00,1991,1,23,70,0,70,Brevard,EAST,FL,ATL,Reliant Energy Power Plant,2019/03/04 15:38:05+00
-8991119.1102,3311318.1226,101651,1991_1,505,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Reliant Energy Power Plant,2019/03/04 15:38:05+00
-8972401.8561,3324877.8039,101652,1991_1,602,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8972043.4075,3324641.9758,101653,1991_1,603,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8971937.654,3324600.1358,101654,1991_1,604,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8971853.0512,3324641.9758,101655,1991_1,605,1991/01/23 00:00:00+00,1991,1,23,6,0,6,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8971828.5611,3319215.2782,101656,1991_1,610,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8970913.5153,3313956.7453,101657,1991_1,612,1991/01/23 00:00:00+00,1991,1,23,8,1,9,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8970862.3083,3313659.0349,101658,1991_1,613,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8971316.4917,3312944.557,101659,1991_1,614,1991/01/23 00:00:00+00,1991,1,23,4,0,4,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8971421.132,3312910.3543,101660,1991_1,615,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8971404.4341,3312771.0105,101661,1991_1,616,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8971525.7723,3312805.2129,101662,1991_1,617,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8971662.6952,3313539.9526,101663,1991_1,618,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8974297.6269,3309793.2024,101664,1991_1,620,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8976496.1863,3307043.9734,101665,1991_1,622,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8976600.8268,3299760.1695,101666,1991_1,628,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8979069.8926,3289632.2074,101667,1991_1,629,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8974205.2327,3275601.5346,101668,1991_1,637,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8973834.5389,3275290.7779,101669,1991_1,639,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Satellite Beach,2019/03/04 15:38:05+00
-8973364.771,3268905.4282,101670,1991_1,641,1991/01/23 00:00:00+00,1991,1,23,1,1,2,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8960109.9641,3230733.181,101671,1991_1,701,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8961578.2678,3228156.0807,101672,1991_1,702,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Saint Sebastian River,2019/03/04 15:38:05+00
-8961924.4713,3227901.7963,101673,1991_1,703,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Saint Sebastian River,2019/03/04 15:38:05+00
-8963376.077,3228200.1404,101674,1991_1,704,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Saint Sebastian River,2019/03/04 15:38:05+00
-8961130.7633,3240183.3562,101675,1991_1,705,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8960124.4356,3230662.6725,101676,1991_1,713,1991/01/23 00:00:00+00,1991,1,23,6,0,6,Brevard,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8955191.8704,3231154.9803,101677,1991_1,718,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8960032.0405,3230534.2473,101678,1991_1,719,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8955397.8116,3223168.1854,101679,1991_1,722,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8949258.5438,3212585.4714,101680,1991_1,725,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8947654.4306,3203292.5518,101681,1991_1,727,1991/01/23 00:00:00+00,1991,1,23,4,0,4,Indian River,EAST,FL,ATL,Vero Beach Municipal (Cooling Technology Institute or CTI),2019/03/04 15:38:05+00
-8945621.7374,3198127.7871,101682,1991_1,728,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8945188.7048,3196810.2092,101683,1991_1,729,1991/01/23 00:00:00+00,1991,1,23,2,1,3,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8945182.0256,3196030.2725,101684,1991_1,731,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8946077.0341,3194562.2024,101685,1991_1,732,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8946313.0314,3194051.1146,101686,1991_1,733,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8945001.6882,3194357.5138,101687,1991_1,734,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Indian River,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8944973.8584,3190460.221,101688,1991_1,735,1991/01/23 00:00:00+00,1991,1,23,1,0,1,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8943896.2862,3183077.9688,101689,1991_1,737,1991/01/23 00:00:00+00,1991,1,23,1,0,1,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8943721.5147,3182988.8838,101690,1991_1,738,1991/01/23 00:00:00+00,1991,1,23,1,0,1,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8943091.4466,3182308.845,101691,1991_1,739,1991/01/23 00:00:00+00,1991,1,23,6,0,6,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8942637.2632,3181729.2075,101692,1991_1,740,1991/01/23 00:00:00+00,1991,1,23,1,0,1,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8942791.9972,3181778.137,101693,1991_1,741,1991/01/23 00:00:00+00,1991,1,23,2,0,2,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8915003.3224,3120550.4077,101694,1991_1,801,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8914639.3078,3119478.714,101695,1991_1,804,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8914620.3835,3118309.6867,101696,1991_1,805,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8914455.6307,3118194.7875,101697,1991_1,806,1991/01/23 00:00:00+00,1991,1,23,3,2,5,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8914379.9335,3117118.278,101698,1991_1,807,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8919800.078,3116337.7978,101699,1991_1,808,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8921127.0059,3115517.4036,101700,1991_1,809,1991/01/23 00:00:00+00,1991,1,23,3,1,4,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8921010.1205,3115581.0854,101701,1991_1,810,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8921212.7219,3115443.7328,101702,1991_1,811,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8911709.3799,3110326.4269,101703,1991_1,812,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8913028.5157,3099251.7391,101704,1991_1,813,1991/01/23 00:00:00+00,1991,1,23,4,0,4,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8913251.1546,3099610.9438,101705,1991_1,814,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8911686.003,3103748.692,101706,1991_1,815,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8910530.5071,3099950.201,101707,1991_1,816,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8909465.1799,3098735.3983,101708,1991_1,817,1991/01/23 00:00:00+00,1991,1,23,4,0,4,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8910541.6391,3098447.3033,101709,1991_1,818,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8909271.4842,3090690.8975,101710,1991_1,819,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8910339.0377,3096225.0534,101711,1991_1,820,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8910172.0585,3096019.3072,101712,1991_1,821,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8910243.303,3095542.9849,101713,1991_1,822,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8911178.3865,3094009.3861,101714,1991_1,823,1991/01/23 00:00:00+00,1991,1,23,4,0,4,Palm Beach,EAST,FL,ATL,Florida Power and Light Riviera Beach Power Plant,2019/03/04 15:38:05+00
-8910966.8795,3093852.2951,101715,1991_1,824,1991/01/23 00:00:00+00,1991,1,23,7,3,10,Palm Beach,EAST,FL,ATL,Florida Power and Light Riviera Beach Power Plant,2019/03/04 15:38:05+00
-8911028.1052,3092806.313,101716,1991_1,825,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8911290.8192,3092465.9803,101717,1991_1,826,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8911031.4453,3072531.4903,101718,1991_1,827,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8911052.596,3069585.1703,101719,1991_1,828,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8910995.8232,3067398.5406,101720,1991_1,829,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8911395.46,3066844.7804,101721,1991_1,830,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8911707.1545,3065950.0985,101722,1991_1,831,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8913688.6414,3044602.5993,101723,1991_1,832,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8913571.756,3044361.5662,101724,1991_1,833,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Palm Beach,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8915484.2246,3031328.1897,101725,1991_1,836,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Broward,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8936976.6688,3179537.5939,101726,1991_1,903,1991/01/23 00:00:00+00,1991,1,23,1,0,1,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8933598.1235,3170920.0268,101727,1991_1,906,1991/01/23 00:00:00+00,1991,1,23,1,0,1,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8935528.403,3167172.2043,101728,1991_1,908,1991/01/23 00:00:00+00,1991,1,23,2,1,3,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8934401.85,3167266.2009,101729,1991_1,909,1991/01/23 00:00:00+00,1991,1,23,3,1,4,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8933267.5049,3160287.1199,101730,1991_1,910,1991/01/23 00:00:00+00,1991,1,23,1,0,1,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8928949.4234,3151434.8652,101731,1991_1,911,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8926633.9787,3147375.6535,101732,1991_1,913,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8925608.7265,3147488.2891,101733,1991_1,914,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8923370.0923,3144531.279,101734,1991_1,916,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8923941.1611,3144170.9244,101735,1991_1,917,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8922531.8569,3139334.5646,101736,1991_1,918,1991/01/23 00:00:00+00,1991,1,23,1,1,2,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8922379.3493,3138919.3111,101737,1991_1,919,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8921420.8888,3137257.1698,101738,1991_1,920,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8921348.5311,3137119.6048,101739,1991_1,921,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8919163.3303,3130861.8297,101740,1991_1,922,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8916743.2454,3125336.5549,101741,1991_1,923,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8914995.53,3120544.1621,101742,1991_1,924,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8926893.3532,3143963.2244,101743,1991_1,925,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8940108.0859,3148968.9069,101744,1991_1,926,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8940017.9171,3148952.6355,101745,1991_1,927,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8937326.2126,3150047.8665,101746,1991_1,928,1991/01/23 00:00:00+00,1991,1,23,1,0,1,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8942107.3832,3156202.7878,101747,1991_1,929,1991/01/23 00:00:00+00,1991,1,23,2,0,2,St. Lucie,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8940497.7044,3132334.4377,101748,1991_1,930,1991/01/23 00:00:00+00,1991,1,23,1,1,2,Martin,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8934218.1774,2974498.6773,101749,1991_1,1001,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Miami-Dade,EAST,FL,ATL,Miami River,2019/03/04 15:38:05+00
-8934142.4802,2974530.8253,101750,1991_1,1002,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Miami River,2019/03/04 15:38:05+00
-8931951.7133,2973300.5973,101751,1991_1,1003,1991/01/23 00:00:00+00,1991,1,23,2,1,3,Miami-Dade,EAST,FL,ATL,Miami River,2019/03/04 15:38:05+00
-8928181.3233,2971336.1559,101752,1991_1,1004,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Miami River,2019/03/04 15:38:05+00
-8919389.312,2994716.387,101753,1991_1,1005,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8920298.792,2991967.906,101754,1991_1,1006,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8919665.3843,2991829.2577,101755,1991_1,1007,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8922129.9971,2991241.2547,101756,1991_1,1008,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8923109.6083,2990187.8602,101757,1991_1,1009,1991/01/23 00:00:00+00,1991,1,23,1,1,2,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8924939.7002,2992480.4214,101758,1991_1,1010,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8920214.1893,2987363.5043,101759,1991_1,1011,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8923889.9579,2983045.1034,101760,1991_1,1012,1991/01/23 00:00:00+00,1991,1,23,2,1,3,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8924334.1226,2981821.5822,101761,1991_1,1013,1991/01/23 00:00:00+00,1991,1,23,1,2,3,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8926484.8145,2980690.9369,101762,1991_1,1014,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Little River,2019/03/04 15:38:05+00
-8926521.5499,2980591.9786,101763,1991_1,1015,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Miami-Dade,EAST,FL,ATL,Little River,2019/03/04 15:38:05+00
-8926514.8708,2980292.634,101764,1991_1,1016,1991/01/23 00:00:00+00,1991,1,23,2,1,3,Miami-Dade,EAST,FL,ATL,Little River,2019/03/04 15:38:05+00
-8925974.9714,2980079.8804,101765,1991_1,1017,1991/01/23 00:00:00+00,1991,1,23,2,1,3,Miami-Dade,EAST,FL,ATL,Little River,2019/03/04 15:38:05+00
-8925487.3922,2980077.4065,101766,1991_1,1018,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Little River,2019/03/04 15:38:05+00
-8925203.5276,2977673.0116,101767,1991_1,1019,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8925654.3715,2976125.9477,101768,1991_1,1020,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8925658.8243,2975314.7629,101769,1991_1,1021,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8925515.2222,2974157.4184,101770,1991_1,1022,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8920787.4849,2969061.738,101771,1991_1,1023,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8927020.2614,2967859.1586,101772,1991_1,1024,1991/01/23 00:00:00+00,1991,1,23,2,2,4,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8923405.7186,2968546.3348,101773,1991_1,1025,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8922793.4615,2969059.266,101774,1991_1,1026,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8925035.4356,2961936.6859,101775,1991_1,1027,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8924870.6828,2961706.903,101776,1991_1,1028,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8923245.4187,2959842.8293,101777,1991_1,1030,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8929842.2097,2966583.7657,101778,1991_1,1031,1991/01/23 00:00:00+00,1991,1,23,0,1,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8933167.322,2963464.9572,101779,1991_1,1032,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8934994.0742,2965712.5581,101780,1991_1,1033,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Coral Gables Waterway,2019/03/04 15:38:05+00
-8935242.3166,2965654.4795,101781,1991_1,1034,1991/01/23 00:00:00+00,1991,1,23,1,1,2,Miami-Dade,EAST,FL,ATL,Coral Gables Waterway,2019/03/04 15:38:05+00
-8936083.8917,2964699.3036,101782,1991_1,1035,1991/01/23 00:00:00+00,1991,1,23,1,1,2,Miami-Dade,EAST,FL,ATL,Coral Gables Waterway,2019/03/04 15:38:05+00
-8936457.9252,2962843.4989,101783,1991_1,1036,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Miami-Dade,EAST,FL,ATL,Coral Gables Waterway,2019/03/04 15:38:05+00
-8935312.4479,2963443.9533,101784,1991_1,1037,1991/01/23 00:00:00+00,1991,1,23,2,0,2,Miami-Dade,EAST,FL,ATL,Coral Gables Waterway,2019/03/04 15:38:05+00
-8935048.6208,2963158.549,101785,1991_1,1038,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Coral Gables Waterway,2019/03/04 15:38:05+00
-8942331.1402,2942266.1675,101786,1991_1,1039,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Miami-Dade,EAST,FL,ATL,Black Creek,2019/03/04 15:38:05+00
-8943651.3892,2932617.6448,101787,1991_1,1040,1991/01/23 00:00:00+00,1991,1,23,1,0,1,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
-8943694.8038,2932668.1959,101788,1991_1,1041,1991/01/23 00:00:00+00,1991,1,23,3,0,3,Miami-Dade,EAST,FL,ATL,Un-named Location,2019/03/04 15:38:05+00
